,bbl,bbt,bbr,bbb,img,bbid,iou,mid,hlabel
0,595.09,177.15,635.0,217.0,6145.0,0.0,0.7515045793476525,3.0,Car
1,14.0,185.06,196.0,261.0,6145.0,1.0,0.6691742633959626,1.0,Car
2,813.0,169.04,1023.51,288.0,6145.0,2.0,0.9019221929659512,11.0,Car
4,739.0,177.97,852.27,243.0,6145.0,4.0,0.6722413965591254,9.0,Car
5,698.0,171.19,803.0,231.62,6145.0,5.0,0.7476189517878357,2.0,Car
6,683.58,175.03,752.0,220.0,6145.0,6.0,0.43467749003724027,10.0,Car
7,671.67,172.74,752.0,217.39,6145.0,7.0,0.6304414313116878,12.0,Van
8,527.4,180.19,548.84,193.0,6145.0,8.0,0.41805344822127577,6.0,Car
9,643.3,175.11,645.0,192.0,6145.0,9.0,0.019305486582576376,7.0,Car
10,646.0,171.26,673.0,192.0,6145.0,10.0,0.502776502834683,8.0,Car
14,544.0,182.36,564.0,206.0,534.0,0.0,0.5865997684866391,1.0,Car
16,3.0,195.0,232.0,346.0,4752.0,0.0,0.7942252814372047,3.0,Car
17,898.93,190.92,1241.0,374.0,4752.0,1.0,0.916136508725991,7.0,Car
18,193.0,184.77,354.0,278.0,4752.0,2.0,0.730224171513076,6.0,Car
19,766.31,180.25,995.0,324.0,4752.0,3.0,0.8874012928256882,5.0,Car
20,471.4,177.11,520.0,197.0,4752.0,4.0,0.5129512694861245,4.0,Car
23,596.61,166.0,622.0,189.0,4752.0,7.0,0.17915712672428413,2.0,Car
26,371.0,183.38,471.0,218.0,2323.0,0.0,0.8808032518584393,1.0,Car
32,953.93,165.44,1239.0,361.0,2445.0,0.0,0.8571249440545455,1.0,Car
34,886.0,180.78,1076.0,261.5,2445.0,2.0,0.5496402624408253,2.0,Car
35,985.0,208.0,1213.0,365.0,3983.0,0.0,0.7333247156002105,1.0,Car
36,800.0,179.09,1027.0,336.09,3983.0,1.0,0.7391638627497626,5.0,Car
37,179.0,168.62,282.0,230.94,3983.0,2.0,0.7855435780047795,6.0,Car
38,480.82,177.47,515.91,193.0,3983.0,3.0,0.5064351314218416,2.0,Car
39,697.04,173.77,749.0,230.05,3983.0,4.0,0.7060118723012508,8.0,Car
41,675.17,178.17,713.0,211.0,3983.0,6.0,0.6713879632372123,3.0,Car
42,656.94,177.34,682.06,199.38,3983.0,7.0,0.47934614718614493,4.0,Car
44,15.0,233.0,295.43,369.0,4034.0,0.0,0.808546868422146,5.0,Car
45,238.0,179.0,444.0,316.0,4034.0,1.0,0.8719181630501548,2.0,Van
46,490.47,184.76,548.0,226.0,4034.0,2.0,0.7322946281436857,3.0,Car
49,246.0,201.0,436.0,320.0,252.0,0.0,0.8353746623955782,1.0,Car
50,518.0,183.55,546.0,204.0,252.0,1.0,0.6058036112920279,3.0,Car
52,402.0,182.63,485.96,218.8,252.0,3.0,0.7131607076511505,2.0,Car
53,592.0,174.32,614.0,195.0,6623.0,0.0,0.5249538865349148,4.0,Car
54,384.14,177.41,510.0,280.0,6623.0,1.0,0.8493152919558329,5.0,Car
55,138.21,189.88,232.0,248.0,6623.0,2.0,0.7134494994496007,3.0,Car
56,675.45,161.19,724.0,225.0,6623.0,3.0,0.7190359948830599,1.0,Cyclist
62,572.0,177.37,605.0,212.39,246.0,0.0,0.8008132447467526,2.0,Car
63,8.0,208.25,265.0,375.0,246.0,1.0,0.8589786973343192,5.0,Car
65,178.0,131.43,353.0,264.0,246.0,3.0,0.8594622171373784,3.0,Van
67,361.0,182.96,407.85,230.0,246.0,5.0,0.4165276082900453,6.0,Misc
68,491.44,161.75,509.0,212.97,246.0,6.0,0.06773117282740622,7.0,Misc
69,414.0,148.0,515.0,241.0,246.0,7.0,0.8515345789943413,4.0,Van
70,524.76,143.98,557.0,198.53,246.0,8.0,0.5408440274319604,1.0,Misc
71,573.08,174.32,610.0,212.08,6637.0,0.0,0.7268807875198127,7.0,Car
72,15.0,199.86,322.0,375.0,6637.0,1.0,0.8070281769802163,2.0,Car
74,292.33,182.12,414.0,262.0,6637.0,3.0,0.7035729432084067,8.0,Car
75,346.0,174.0,406.82,227.0,6637.0,4.0,0.47876976195542353,11.0,Car
76,436.0,155.74,493.0,230.82,6637.0,5.0,0.7069890542216576,4.0,Van
77,467.0,153.28,519.0,220.63,6637.0,6.0,0.6792372690286362,5.0,Van
79,501.22,172.77,526.0,204.32,6637.0,8.0,0.4259471740054254,12.0,Car
80,533.4,165.09,555.0,193.54,6637.0,9.0,0.513587692348838,9.0,Car
81,216.9,181.91,303.0,227.34,6637.0,10.0,0.4406603095092392,10.0,Car
82,574.72,180.61,602.0,208.0,1158.0,0.0,0.6988246041891361,7.0,Car
83,8.0,191.39,141.0,308.24,1158.0,1.0,0.5600943316769141,9.0,Car
84,36.53,64.0,421.51,358.0,1158.0,2.0,0.9685207373963238,3.0,Van
86,426.66,187.16,499.0,239.0,1158.0,4.0,0.7616033398798233,8.0,Car
